numWords,train,condition,image1,label1,phonemes1,image2,label2,phonemes2
2,train,noninterfering,6,artificial_8-0-14,8_0_14,7,artificial_6-11-4,8_0_14
2,train,noninterfering,2,artificial_1-17-0,1_17_0,8,artificial_4-7-1,1_17_0
2,train,noninterfering,4,artificial_10-10-13,10_10_13,1,artificial_13-10-9,10_10_13
2,train,noninterfering,7,artificial_12-12-14,12_12_14,0,artificial_8-15-7,12_12_14
2,train,noninterfering,4,artificial_10-10-13,10_10_13,1,artificial_7-6-15,10_10_13
2,train,noninterfering,7,artificial_6-11-17,6_11_17,5,artificial_8-3-9,6_11_17
2,train,noninterfering,5,artificial_1-14-17,1_14_17,3,artificial_0-10-1,1_14_17
2,train,noninterfering,9,artificial_17-1-14,17_1_14,8,artificial_3-12-2,17_1_14
2,train,noninterfering,1,artificial_7-6-17,7_6_17,6,artificial_8-0-13,7_6_17
2,train,noninterfering,1,artificial_7-6-17,7_6_17,7,artificial_6-11-4,7_6_17
2,train,noninterfering,9,artificial_9-5-2,9_5_2,7,artificial_6-11-4,9_5_2
2,train,noninterfering,1,artificial_13-10-2,13_10_2,2,artificial_9-6-15,13_10_2
2,train,noninterfering,2,artificial_9-6-16,9_6_16,4,artificial_16-5-14,9_6_16
2,train,noninterfering,4,artificial_10-10-13,10_10_13,0,artificial_8-15-7,10_10_13
2,train,noninterfering,9,artificial_17-1-14,17_1_14,2,artificial_9-6-15,17_1_14
2,train,noninterfering,4,artificial_10-10-13,10_10_13,6,artificial_8-0-13,10_10_13
2,train,noninterfering,3,artificial_0-10-7,0_10_7,5,artificial_8-3-9,0_10_7
2,train,noninterfering,9,artificial_9-5-2,9_5_2,5,artificial_1-14-12,9_5_2
2,train,noninterfering,3,artificial_0-10-7,0_10_7,9,artificial_9-5-0,0_10_7
2,train,noninterfering,0,artificial_8-15-4,8_15_4,4,artificial_10-10-11,8_15_4
2,train,noninterfering,0,artificial_8-15-4,8_15_4,0,artificial_11-2-11,8_15_4
2,train,noninterfering,1,artificial_13-10-2,13_10_2,9,artificial_9-5-0,13_10_2
2,train,noninterfering,1,artificial_7-6-17,7_6_17,3,artificial_0-10-1,7_6_17
2,train,noninterfering,9,artificial_9-5-2,9_5_2,4,artificial_16-5-14,9_5_2
2,train,noninterfering,2,artificial_9-6-16,9_6_16,6,artificial_16-10-16,9_6_16
2,train,noninterfering,4,artificial_16-5-4,16_5_4,1,artificial_7-6-15,16_5_4
2,train,noninterfering,8,artificial_3-12-13,3_12_13,0,artificial_11-2-11,3_12_13
2,train,noninterfering,7,artificial_6-11-17,6_11_17,2,artificial_9-6-15,6_11_17
2,train,noninterfering,0,artificial_8-15-4,8_15_4,9,artificial_17-1-10,8_15_4
2,train,noninterfering,6,artificial_8-0-14,8_0_14,1,artificial_13-10-9,8_0_14
2,train,noninterfering,2,artificial_1-17-0,1_17_0,0,artificial_11-2-11,1_17_0
2,train,noninterfering,6,artificial_8-0-14,8_0_14,8,artificial_4-7-1,8_0_14
2,train,noninterfering,9,artificial_17-1-14,17_1_14,9,artificial_9-5-0,17_1_14
2,train,noninterfering,9,artificial_9-5-2,9_5_2,3,artificial_9-8-16,9_5_2
2,train,noninterfering,9,artificial_9-5-2,9_5_2,5,artificial_8-3-9,9_5_2
2,train,noninterfering,6,artificial_8-0-14,8_0_14,2,artificial_1-17-11,8_0_14
2,train,noninterfering,0,artificial_8-15-4,8_15_4,6,artificial_16-10-16,8_15_4
2,train,noninterfering,0,artificial_11-2-17,11_2_17,5,artificial_1-14-12,11_2_17
2,train,noninterfering,9,artificial_17-1-14,17_1_14,6,artificial_8-0-13,17_1_14
2,train,noninterfering,4,artificial_10-10-13,10_10_13,4,artificial_16-5-14,10_10_13
2,train,noninterfering,9,artificial_9-5-2,9_5_2,9,artificial_17-1-10,9_5_2
2,train,noninterfering,8,artificial_3-12-13,3_12_13,5,artificial_8-3-9,3_12_13
2,train,noninterfering,0,artificial_8-15-4,8_15_4,2,artificial_9-6-15,8_15_4
2,train,noninterfering,8,artificial_4-7-11,4_7_11,2,artificial_9-6-15,4_7_11
2,train,noninterfering,0,artificial_8-15-4,8_15_4,9,artificial_9-5-0,8_15_4
2,train,noninterfering,2,artificial_1-17-0,1_17_0,9,artificial_9-5-0,1_17_0
2,train,noninterfering,4,artificial_16-5-4,16_5_4,1,artificial_13-10-9,16_5_4
2,train,noninterfering,7,artificial_6-11-17,6_11_17,3,artificial_9-8-16,6_11_17
2,train,noninterfering,5,artificial_8-3-4,8_3_4,5,artificial_1-14-12,8_3_4
2,train,noninterfering,7,artificial_12-12-14,12_12_14,5,artificial_8-3-9,12_12_14
2,train,noninterfering,5,artificial_8-3-4,8_3_4,2,artificial_9-6-15,8_3_4
2,train,noninterfering,1,artificial_13-10-2,13_10_2,7,artificial_6-11-4,13_10_2
2,train,noninterfering,3,artificial_9-8-6,9_8_6,0,artificial_8-15-7,9_8_6
2,train,noninterfering,6,artificial_8-0-14,8_0_14,5,artificial_1-14-12,8_0_14
2,train,noninterfering,2,artificial_9-6-16,9_6_16,5,artificial_8-3-9,9_6_16
2,train,noninterfering,3,artificial_0-10-7,0_10_7,1,artificial_13-10-9,0_10_7
2,train,noninterfering,4,artificial_16-5-4,16_5_4,7,artificial_12-12-12,16_5_4
2,train,noninterfering,6,artificial_16-10-17,16_10_17,2,artificial_1-17-11,16_10_17
2,train,noninterfering,1,artificial_13-10-2,13_10_2,3,artificial_0-10-1,13_10_2
2,train,noninterfering,0,artificial_8-15-4,8_15_4,5,artificial_8-3-9,8_15_4
2,train,noninterfering,4,artificial_16-5-4,16_5_4,9,artificial_9-5-0,16_5_4
2,train,noninterfering,1,artificial_7-6-17,7_6_17,9,artificial_17-1-10,7_6_17
2,train,noninterfering,9,artificial_9-5-2,9_5_2,0,artificial_11-2-11,9_5_2
2,train,noninterfering,5,artificial_1-14-17,1_14_17,9,artificial_9-5-0,1_14_17
2,train,noninterfering,6,artificial_16-10-17,16_10_17,1,artificial_13-10-9,16_10_17
2,train,noninterfering,7,artificial_6-11-17,6_11_17,4,artificial_16-5-14,6_11_17
2,train,noninterfering,8,artificial_3-12-13,3_12_13,3,artificial_0-10-1,3_12_13
2,train,noninterfering,0,artificial_8-15-4,8_15_4,7,artificial_6-11-4,8_15_4
2,train,noninterfering,1,artificial_7-6-17,7_6_17,4,artificial_16-5-14,7_6_17
2,train,noninterfering,0,artificial_8-15-4,8_15_4,4,artificial_16-5-14,8_15_4
2,train,noninterfering,3,artificial_0-10-7,0_10_7,6,artificial_8-0-13,0_10_7
2,train,noninterfering,6,artificial_8-0-14,8_0_14,2,artificial_9-6-15,8_0_14
2,train,noninterfering,5,artificial_8-3-4,8_3_4,1,artificial_7-6-15,8_3_4
2,train,noninterfering,0,artificial_11-2-17,11_2_17,3,artificial_9-8-16,11_2_17
2,train,noninterfering,0,artificial_8-15-4,8_15_4,8,artificial_4-7-1,8_15_4
2,train,noninterfering,5,artificial_1-14-17,1_14_17,5,artificial_8-3-9,1_14_17
2,train,noninterfering,9,artificial_17-1-14,17_1_14,2,artificial_1-17-11,17_1_14
2,train,noninterfering,9,artificial_9-5-2,9_5_2,0,artificial_8-15-7,9_5_2
2,train,noninterfering,2,artificial_9-6-16,9_6_16,7,artificial_12-12-12,9_6_16
2,train,noninterfering,7,artificial_6-11-17,6_11_17,5,artificial_1-14-12,6_11_17
2,train,noninterfering,7,artificial_12-12-14,12_12_14,4,artificial_16-5-14,12_12_14
2,train,noninterfering,6,artificial_8-0-14,8_0_14,3,artificial_9-8-16,8_0_14
2,train,noninterfering,2,artificial_1-17-0,1_17_0,7,artificial_6-11-4,1_17_0
2,train,noninterfering,3,artificial_0-10-7,0_10_7,4,artificial_10-10-11,0_10_7
2,train,noninterfering,5,artificial_1-14-17,1_14_17,6,artificial_8-0-13,1_14_17
2,train,noninterfering,1,artificial_13-10-2,13_10_2,3,artificial_9-8-16,13_10_2
2,train,noninterfering,4,artificial_16-5-4,16_5_4,2,artificial_1-17-11,16_5_4
2,train,noninterfering,9,artificial_17-1-14,17_1_14,7,artificial_6-11-4,17_1_14
2,train,noninterfering,5,artificial_8-3-4,8_3_4,6,artificial_8-0-13,8_3_4
2,train,noninterfering,1,artificial_13-10-2,13_10_2,5,artificial_1-14-12,13_10_2
2,train,noninterfering,1,artificial_7-6-17,7_6_17,8,artificial_3-12-2,7_6_17
2,train,noninterfering,1,artificial_13-10-2,13_10_2,9,artificial_17-1-10,13_10_2
2,train,noninterfering,8,artificial_3-12-13,3_12_13,7,artificial_12-12-12,3_12_13
2,train,noninterfering,9,artificial_17-1-14,17_1_14,4,artificial_10-10-11,17_1_14
2,train,noninterfering,5,artificial_1-14-17,1_14_17,6,artificial_16-10-16,1_14_17
2,train,noninterfering,4,artificial_16-5-4,16_5_4,2,artificial_9-6-15,16_5_4
2,train,noninterfering,2,artificial_1-17-0,1_17_0,5,artificial_1-14-12,1_17_0
2,train,noninterfering,4,artificial_16-5-4,16_5_4,5,artificial_1-14-12,16_5_4
2,train,noninterfering,4,artificial_16-5-4,16_5_4,8,artificial_4-7-1,16_5_4
2,train,noninterfering,3,artificial_0-10-7,0_10_7,2,artificial_9-6-15,0_10_7
2,train,noninterfering,7,artificial_12-12-14,12_12_14,1,artificial_7-6-15,12_12_14
2,train,noninterfering,8,artificial_4-7-11,4_7_11,0,artificial_11-2-11,4_7_11
2,train,noninterfering,6,artificial_16-10-17,16_10_17,7,artificial_12-12-12,16_10_17
2,train,noninterfering,4,artificial_10-10-13,10_10_13,0,artificial_11-2-11,10_10_13
2,train,noninterfering,2,artificial_1-17-0,1_17_0,1,artificial_13-10-9,1_17_0
2,train,noninterfering,8,artificial_3-12-13,3_12_13,0,artificial_8-15-7,3_12_13
2,train,noninterfering,4,artificial_16-5-4,16_5_4,4,artificial_10-10-11,16_5_4
2,train,noninterfering,1,artificial_13-10-2,13_10_2,4,artificial_16-5-14,13_10_2
2,train,noninterfering,5,artificial_1-14-17,1_14_17,3,artificial_9-8-16,1_14_17
2,train,noninterfering,3,artificial_0-10-7,0_10_7,8,artificial_3-12-2,0_10_7
2,train,noninterfering,0,artificial_8-15-4,8_15_4,5,artificial_1-14-12,8_15_4
2,train,noninterfering,8,artificial_3-12-13,3_12_13,6,artificial_16-10-16,3_12_13
2,train,noninterfering,8,artificial_3-12-13,3_12_13,2,artificial_9-6-15,3_12_13
2,train,noninterfering,9,artificial_9-5-2,9_5_2,3,artificial_0-10-1,9_5_2
2,train,noninterfering,0,artificial_11-2-17,11_2_17,7,artificial_6-11-4,11_2_17
2,train,noninterfering,3,artificial_9-8-6,9_8_6,6,artificial_8-0-13,9_8_6
2,train,noninterfering,0,artificial_11-2-17,11_2_17,8,artificial_3-12-2,11_2_17
2,train,noninterfering,7,artificial_6-11-17,6_11_17,9,artificial_9-5-0,6_11_17
2,train,noninterfering,8,artificial_3-12-13,3_12_13,7,artificial_6-11-4,3_12_13
2,train,noninterfering,7,artificial_12-12-14,12_12_14,6,artificial_8-0-13,12_12_14
2,train,noninterfering,4,artificial_10-10-13,10_10_13,7,artificial_12-12-12,10_10_13
2,train,noninterfering,8,artificial_4-7-11,4_7_11,7,artificial_12-12-12,4_7_11
2,train,noninterfering,9,artificial_9-5-2,9_5_2,8,artificial_3-12-2,9_5_2
2,train,noninterfering,5,artificial_8-3-4,8_3_4,0,artificial_8-15-7,8_3_4
2,train,noninterfering,8,artificial_3-12-13,3_12_13,1,artificial_7-6-15,3_12_13
2,train,noninterfering,2,artificial_1-17-0,1_17_0,1,artificial_7-6-15,1_17_0
2,train,noninterfering,1,artificial_7-6-17,7_6_17,5,artificial_1-14-12,7_6_17
2,train,noninterfering,7,artificial_12-12-14,12_12_14,2,artificial_9-6-15,12_12_14
2,train,noninterfering,6,artificial_16-10-17,16_10_17,8,artificial_4-7-1,16_10_17
2,train,noninterfering,4,artificial_10-10-13,10_10_13,3,artificial_9-8-16,10_10_13
2,train,noninterfering,7,artificial_6-11-17,6_11_17,0,artificial_11-2-11,6_11_17
2,train,noninterfering,3,artificial_0-10-7,0_10_7,8,artificial_4-7-1,0_10_7
2,train,noninterfering,7,artificial_6-11-17,6_11_17,1,artificial_7-6-15,6_11_17
2,train,noninterfering,5,artificial_1-14-17,1_14_17,8,artificial_3-12-2,1_14_17
2,train,noninterfering,0,artificial_8-15-4,8_15_4,3,artificial_9-8-16,8_15_4
2,train,noninterfering,6,artificial_8-0-14,8_0_14,4,artificial_10-10-11,8_0_14
2,train,noninterfering,7,artificial_12-12-14,12_12_14,8,artificial_4-7-1,12_12_14
2,train,noninterfering,6,artificial_8-0-14,8_0_14,7,artificial_12-12-12,8_0_14
2,train,noninterfering,9,artificial_9-5-2,9_5_2,6,artificial_8-0-13,9_5_2
2,train,noninterfering,2,artificial_1-17-0,1_17_0,9,artificial_17-1-10,1_17_0
2,train,noninterfering,9,artificial_17-1-14,17_1_14,6,artificial_16-10-16,17_1_14
2,train,noninterfering,7,artificial_12-12-14,12_12_14,4,artificial_10-10-11,12_12_14
2,train,noninterfering,8,artificial_4-7-11,4_7_11,8,artificial_3-12-2,4_7_11
2,train,noninterfering,3,artificial_9-8-6,9_8_6,2,artificial_1-17-11,9_8_6
2,train,noninterfering,8,artificial_3-12-13,3_12_13,2,artificial_1-17-11,3_12_13
2,train,noninterfering,1,artificial_7-6-17,7_6_17,0,artificial_11-2-11,7_6_17
2,train,noninterfering,2,artificial_9-6-16,9_6_16,7,artificial_6-11-4,9_6_16
2,train,noninterfering,2,artificial_1-17-0,1_17_0,8,artificial_3-12-2,1_17_0
2,train,noninterfering,7,artificial_6-11-17,6_11_17,1,artificial_13-10-9,6_11_17
2,train,noninterfering,1,artificial_7-6-17,7_6_17,1,artificial_13-10-9,7_6_17
2,train,noninterfering,6,artificial_16-10-17,16_10_17,3,artificial_0-10-1,16_10_17
2,train,noninterfering,4,artificial_16-5-4,16_5_4,3,artificial_9-8-16,16_5_4
2,train,noninterfering,9,artificial_17-1-14,17_1_14,3,artificial_0-10-1,17_1_14
2,train,noninterfering,6,artificial_8-0-14,8_0_14,5,artificial_8-3-9,8_0_14
2,train,noninterfering,5,artificial_1-14-17,1_14_17,1,artificial_7-6-15,1_14_17
2,train,noninterfering,5,artificial_8-3-4,8_3_4,2,artificial_1-17-11,8_3_4
2,train,noninterfering,5,artificial_1-14-17,1_14_17,7,artificial_12-12-12,1_14_17
2,train,noninterfering,5,artificial_1-14-17,1_14_17,2,artificial_1-17-11,1_14_17
2,train,noninterfering,9,artificial_9-5-2,9_5_2,7,artificial_12-12-12,9_5_2
2,train,noninterfering,5,artificial_1-14-17,1_14_17,4,artificial_16-5-14,1_14_17
2,train,noninterfering,4,artificial_10-10-13,10_10_13,9,artificial_17-1-10,10_10_13
2,train,noninterfering,1,artificial_7-6-17,7_6_17,8,artificial_4-7-1,7_6_17
2,train,noninterfering,2,artificial_9-6-16,9_6_16,1,artificial_7-6-15,9_6_16
2,train,noninterfering,2,artificial_9-6-16,9_6_16,2,artificial_1-17-11,9_6_16
2,train,noninterfering,5,artificial_8-3-4,8_3_4,9,artificial_9-5-0,8_3_4
2,train,noninterfering,6,artificial_16-10-17,16_10_17,1,artificial_7-6-15,16_10_17
2,train,noninterfering,6,artificial_16-10-17,16_10_17,6,artificial_8-0-13,16_10_17
2,train,noninterfering,1,artificial_7-6-17,7_6_17,4,artificial_10-10-11,7_6_17
2,train,noninterfering,3,artificial_9-8-6,9_8_6,4,artificial_10-10-11,9_8_6
2,train,noninterfering,9,artificial_9-5-2,9_5_2,2,artificial_9-6-15,9_5_2
2,train,noninterfering,7,artificial_12-12-14,12_12_14,3,artificial_0-10-1,12_12_14
2,train,noninterfering,7,artificial_6-11-17,6_11_17,8,artificial_3-12-2,6_11_17
2,train,noninterfering,8,artificial_4-7-11,4_7_11,6,artificial_16-10-16,4_7_11
2,train,noninterfering,0,artificial_11-2-17,11_2_17,4,artificial_16-5-14,11_2_17
2,train,noninterfering,2,artificial_1-17-0,1_17_0,4,artificial_10-10-11,1_17_0
2,train,noninterfering,2,artificial_9-6-16,9_6_16,3,artificial_9-8-16,9_6_16
2,train,noninterfering,8,artificial_4-7-11,4_7_11,5,artificial_8-3-9,4_7_11
2,train,noninterfering,5,artificial_1-14-17,1_14_17,0,artificial_8-15-7,1_14_17
2,train,noninterfering,1,artificial_7-6-17,7_6_17,3,artificial_9-8-16,7_6_17
2,train,noninterfering,8,artificial_4-7-11,4_7_11,6,artificial_8-0-13,4_7_11
2,train,noninterfering,9,artificial_9-5-2,9_5_2,8,artificial_4-7-1,9_5_2
2,train,noninterfering,4,artificial_16-5-4,16_5_4,3,artificial_0-10-1,16_5_4
2,train,noninterfering,6,artificial_8-0-14,8_0_14,4,artificial_16-5-14,8_0_14
2,train,noninterfering,0,artificial_11-2-17,11_2_17,2,artificial_9-6-15,11_2_17
2,train,noninterfering,3,artificial_0-10-7,0_10_7,7,artificial_12-12-12,0_10_7
2,train,noninterfering,7,artificial_6-11-17,6_11_17,6,artificial_8-0-13,6_11_17
2,train,noninterfering,1,artificial_13-10-2,13_10_2,7,artificial_12-12-12,13_10_2
2,train,noninterfering,5,artificial_8-3-4,8_3_4,9,artificial_17-1-10,8_3_4
2,train,noninterfering,6,artificial_8-0-14,8_0_14,6,artificial_16-10-16,8_0_14
2,train,noninterfering,6,artificial_8-0-14,8_0_14,9,artificial_17-1-10,8_0_14
2,train,noninterfering,7,artificial_6-11-17,6_11_17,9,artificial_17-1-10,6_11_17
2,train,noninterfering,3,artificial_9-8-6,9_8_6,7,artificial_12-12-12,9_8_6
2,train,noninterfering,5,artificial_1-14-17,1_14_17,0,artificial_11-2-11,1_14_17
2,train,noninterfering,8,artificial_4-7-11,4_7_11,4,artificial_16-5-14,4_7_11
2,train,noninterfering,1,artificial_7-6-17,7_6_17,9,artificial_9-5-0,7_6_17
2,train,noninterfering,0,artificial_8-15-4,8_15_4,1,artificial_13-10-9,8_15_4
2,train,noninterfering,6,artificial_16-10-17,16_10_17,0,artificial_11-2-11,16_10_17
2,train,noninterfering,7,artificial_12-12-14,12_12_14,8,artificial_3-12-2,12_12_14
2,train,noninterfering,0,artificial_8-15-4,8_15_4,3,artificial_0-10-1,8_15_4
2,train,noninterfering,4,artificial_10-10-13,10_10_13,9,artificial_9-5-0,10_10_13
2,train,noninterfering,2,artificial_1-17-0,1_17_0,2,artificial_9-6-15,1_17_0
2,train,noninterfering,2,artificial_9-6-16,9_6_16,0,artificial_11-2-11,9_6_16
2,train,noninterfering,9,artificial_17-1-14,17_1_14,0,artificial_8-15-7,17_1_14
2,train,noninterfering,7,artificial_12-12-14,12_12_14,9,artificial_17-1-10,12_12_14
2,train,noninterfering,1,artificial_13-10-2,13_10_2,0,artificial_8-15-7,13_10_2
2,train,noninterfering,4,artificial_16-5-4,16_5_4,6,artificial_16-10-16,16_5_4
2,train,noninterfering,8,artificial_4-7-11,4_7_11,1,artificial_13-10-9,4_7_11
2,train,noninterfering,9,artificial_9-5-2,9_5_2,2,artificial_1-17-11,9_5_2
2,train,noninterfering,8,artificial_4-7-11,4_7_11,3,artificial_0-10-1,4_7_11
2,train,noninterfering,0,artificial_8-15-4,8_15_4,7,artificial_12-12-12,8_15_4
2,train,noninterfering,4,artificial_16-5-4,16_5_4,8,artificial_3-12-2,16_5_4
2,train,noninterfering,7,artificial_6-11-17,6_11_17,7,artificial_12-12-12,6_11_17
2,train,noninterfering,6,artificial_8-0-14,8_0_14,9,artificial_9-5-0,8_0_14
2,train,noninterfering,9,artificial_17-1-14,17_1_14,3,artificial_9-8-16,17_1_14
2,train,noninterfering,3,artificial_0-10-7,0_10_7,3,artificial_9-8-16,0_10_7
2,train,noninterfering,3,artificial_9-8-6,9_8_6,1,artificial_7-6-15,9_8_6
2,train,noninterfering,6,artificial_16-10-17,16_10_17,5,artificial_8-3-9,16_10_17
2,train,noninterfering,3,artificial_9-8-6,9_8_6,0,artificial_11-2-11,9_8_6
2,train,noninterfering,5,artificial_8-3-4,8_3_4,7,artificial_12-12-12,8_3_4
2,train,noninterfering,1,artificial_13-10-2,13_10_2,8,artificial_4-7-1,13_10_2
2,train,noninterfering,0,artificial_11-2-17,11_2_17,2,artificial_1-17-11,11_2_17
2,train,noninterfering,8,artificial_3-12-13,3_12_13,1,artificial_13-10-9,3_12_13
2,train,noninterfering,1,artificial_13-10-2,13_10_2,0,artificial_11-2-11,13_10_2
2,train,noninterfering,8,artificial_4-7-11,4_7_11,2,artificial_1-17-11,4_7_11
2,train,noninterfering,3,artificial_9-8-6,9_8_6,9,artificial_9-5-0,9_8_6
2,train,noninterfering,6,artificial_16-10-17,16_10_17,7,artificial_6-11-4,16_10_17
2,train,noninterfering,4,artificial_16-5-4,16_5_4,7,artificial_6-11-4,16_5_4
2,train,noninterfering,4,artificial_16-5-4,16_5_4,0,artificial_8-15-7,16_5_4
2,train,noninterfering,6,artificial_16-10-17,16_10_17,3,artificial_9-8-16,16_10_17
2,train,noninterfering,4,artificial_16-5-4,16_5_4,9,artificial_17-1-10,16_5_4
2,train,noninterfering,3,artificial_9-8-6,9_8_6,8,artificial_3-12-2,9_8_6
2,train,noninterfering,2,artificial_9-6-16,9_6_16,4,artificial_10-10-11,9_6_16
2,train,noninterfering,2,artificial_1-17-0,1_17_0,5,artificial_8-3-9,1_17_0
2,train,noninterfering,3,artificial_0-10-7,0_10_7,9,artificial_17-1-10,0_10_7
2,train,noninterfering,9,artificial_17-1-14,17_1_14,0,artificial_11-2-11,17_1_14
2,train,noninterfering,8,artificial_4-7-11,4_7_11,9,artificial_9-5-0,4_7_11
2,train,noninterfering,8,artificial_3-12-13,3_12_13,9,artificial_9-5-0,3_12_13
2,train,noninterfering,9,artificial_9-5-2,9_5_2,6,artificial_16-10-16,9_5_2
2,train,noninterfering,8,artificial_3-12-13,3_12_13,4,artificial_10-10-11,3_12_13
2,train,noninterfering,4,artificial_16-5-4,16_5_4,6,artificial_8-0-13,16_5_4
2,train,noninterfering,4,artificial_16-5-4,16_5_4,0,artificial_11-2-11,16_5_4
2,train,noninterfering,3,artificial_9-8-6,9_8_6,8,artificial_4-7-1,9_8_6
2,train,noninterfering,7,artificial_6-11-17,6_11_17,8,artificial_4-7-1,6_11_17
2,train,noninterfering,5,artificial_8-3-4,8_3_4,4,artificial_16-5-14,8_3_4
2,train,noninterfering,3,artificial_0-10-7,0_10_7,1,artificial_7-6-15,0_10_7
2,train,noninterfering,8,artificial_3-12-13,3_12_13,6,artificial_8-0-13,3_12_13
2,train,noninterfering,2,artificial_9-6-16,9_6_16,9,artificial_17-1-10,9_6_16
2,train,noninterfering,4,artificial_10-10-13,10_10_13,5,artificial_8-3-9,10_10_13
2,train,noninterfering,7,artificial_6-11-17,6_11_17,6,artificial_16-10-16,6_11_17
2,train,noninterfering,0,artificial_11-2-17,11_2_17,8,artificial_4-7-1,11_2_17
